index,Time,CHARGE
G0019,1,0.0
G0019,2,0.0
G0019,3,0.0
G0019,4,0.0
G0019,5,0.0
G0019,6,0.0
G0019,7,0.0
G0019,8,0.0
G0019,9,0.0
G0019,10,314.0
G0019,11,0.0
G0019,12,314.0
G0019,13,314.0
G0019,14,314.0
G0019,15,172.0489036358654
G0019,16,314.0
G0019,17,0.0
G0019,18,0.0
G0019,19,0.0
G0019,20,0.0
G0019,21,0.0
G0019,22,0.0
G0019,23,0.0
G0019,24,0.0
G0070,1,0.0
G0070,2,0.0
G0070,3,0.0
G0070,4,0.0
G0070,5,0.0
G0070,6,0.0
G0070,7,0.0
G0070,8,0.0
G0070,9,47.763099419382854
G0070,10,1229.0
G0070,11,1229.0
G0070,12,418.6751203061432
G0070,13,0.0
G0070,14,1229.0
G0070,15,1229.0
G0070,16,0.0
G0070,17,1172.6130099466136
G0070,18,0.0
G0070,19,0.0
G0070,20,0.0
G0070,21,0.0
G0070,22,0.0
G0070,23,0.0
G0070,24,0.0
G0095,1,0.0
G0095,2,0.0
G0095,3,0.0
G0095,4,0.0
G0095,5,0.0
G0095,6,0.0
G0095,7,0.0
G0095,8,0.0
G0095,9,378.0
G0095,10,378.0
G0095,11,378.0
G0095,12,378.0
G0095,13,378.0
G0095,14,378.0
G0095,15,378.0
G0095,16,378.0
G0095,17,0.17741840854599022
G0095,18,0.0
G0095,19,0.0
G0095,20,0.0
G0095,21,0.0
G0095,22,0.0
G0095,23,0.0
G0095,24,0.0
G0104,1,0.0
G0104,2,0.0
G0104,3,0.0
G0104,4,0.0
G0104,5,0.0
G0104,6,0.0
G0104,7,0.0
G0104,8,0.0
G0104,9,572.0
G0104,10,572.0
G0104,11,572.0
G0104,12,572.0
G0104,13,572.0
G0104,14,572.0
G0104,15,572.0
G0104,16,0.2684744171668489
G0104,17,572.0
G0104,18,0.0
G0104,19,0.0
G0104,20,0.0
G0104,21,0.0
G0104,22,0.0
G0104,23,0.0
G0104,24,0.0
G0155,1,0.0
G0155,2,0.0
G0155,3,0.0
G0155,4,0.0
G0155,5,0.0
G0155,6,0.0
G0155,7,0.0
G0155,8,0.0
G0155,9,446.41866989529973
G0155,10,0.0
G0155,11,1338.0
G0155,12,1338.0
G0155,13,1338.0
G0155,14,1338.0
G0155,15,0.0
G0155,16,0.0
G0155,17,1338.0
G0155,18,0.0
G0155,19,0.0
G0155,20,0.0
G0155,21,0.0
G0155,22,0.0
G0155,23,0.0
G0155,24,0.0
G0162,1,0.0
G0162,2,0.0
G0162,3,0.0
G0162,4,0.0
G0162,5,0.0
G0162,6,0.0
G0162,7,0.0
G0162,8,0.0
G0162,9,0.0
G0162,10,657.0
G0162,11,42.8843457204066
G0162,12,657.0
G0162,13,657.0
G0162,14,657.0
G0162,15,657.0
G0162,16,647.4426494448376
G0162,17,0.0
G0162,18,0.0
G0162,19,0.0
G0162,20,0.0
G0162,21,0.0
G0162,22,0.0
G0162,23,0.0
G0162,24,0.0
G0281,1,0.0
G0281,2,0.0
G0281,3,0.0
G0281,4,0.0
G0281,5,0.0
G0281,6,0.0
G0281,7,0.0
G0281,8,0.0
G0281,9,963.0
G0281,10,66.75604291493653
G0281,11,963.0
G0281,12,963.0
G0281,13,963.0
G0281,14,0.0
G0281,15,963.0
G0281,16,963.0
G0281,17,575.6206191825734
G0281,18,0.0
G0281,19,0.0
G0281,20,0.0
G0281,21,0.0
G0281,22,0.0
G0281,23,0.0
G0281,24,0.0
G0302,1,0.0
G0302,2,0.0
G0302,3,0.0
G0302,4,0.0
G0302,5,0.0
G0302,6,0.0
G0302,7,0.0
G0302,8,0.0
G0302,9,334.0
G0302,10,334.0
G0302,11,334.0
G0302,12,334.0
G0302,13,111.43784435353548
G0302,14,0.0
G0302,15,334.0
G0302,16,0.0
G0302,17,0.0
G0302,18,0.0
G0302,19,0.0
G0302,20,0.0
G0302,21,0.0
G0302,22,0.0
G0302,23,0.0
G0302,24,0.0
G0323,1,0.0
G0323,2,0.0
G0323,3,0.0
G0323,4,0.0
G0323,5,0.0
G0323,6,0.0
G0323,7,200.0
G0323,8,0.0
G0323,9,200.0
G0323,10,133.4115601448617
G0323,11,0.0
G0323,12,200.0
G0323,13,200.0
G0323,14,200.0
G0323,15,200.0
G0323,16,0.0
G0323,17,0.0
G0323,18,0.0
G0323,19,0.0
G0323,20,0.0
G0323,21,0.0
G0323,22,0.0
G0323,23,0.0
G0323,24,0.0
G0563,1,0.0
G0563,2,0.0
G0563,3,0.0
G0563,4,0.0
G0563,5,0.0
G0563,6,0.0
G0563,7,0.0
G0563,8,0.0
G0563,9,0.0
G0563,10,187.0
G0563,11,0.0
G0563,12,187.0
G0563,13,187.0
G0563,14,187.0
G0563,15,187.0
G0563,16,62.3918469883566
G0563,17,0.0
G0563,18,0.0
G0563,19,0.0
G0563,20,0.0
G0563,21,0.0
G0563,22,0.0
G0563,23,0.0
G0563,24,0.0
G0656,1,0.0
G0656,2,0.0
G0656,3,0.0
G0656,4,0.0
G0656,5,0.0
G0656,6,0.0
G0656,7,0.0
G0656,8,238.5353094504018
G0656,9,667.0
G0656,10,667.0
G0656,11,109.03296699661587
G0656,12,667.0
G0656,13,667.0
G0656,14,667.0
G0656,15,97.35927663609695
G0656,16,0.0
G0656,17,667.0
G0656,18,0.0
G0656,19,0.0
G0656,20,0.0
G0656,21,0.0
G0656,22,0.0
G0656,23,0.0
G0656,24,0.0
G0657,1,0.0
G0657,2,0.0
G0657,3,0.0
G0657,4,0.0
G0657,5,0.0
G0657,6,0.0
G0657,7,0.0
G0657,8,0.0
G0657,9,0.0
G0657,10,332.0
G0657,11,332.0
G0657,12,0.0
G0657,13,332.0
G0657,14,332.0
G0657,15,332.0
G0657,16,221.4631898404705
G0657,17,332.0
G0657,18,0.0
G0657,19,0.0
G0657,20,0.0
G0657,21,0.0
G0657,22,0.0
G0657,23,0.0
G0657,24,0.0
G0705,1,0.0
G0705,2,0.0
G0705,3,0.0
G0705,4,0.0
G0705,5,0.0
G0705,6,0.0
G0705,7,0.0
G0705,8,0.0
G0705,9,133.0
G0705,10,0.0
G0705,11,133.0
G0705,12,133.0
G0705,13,133.0
G0705,14,133.0
G0705,15,133.0
G0705,16,88.71868749633313
G0705,17,0.0
G0705,18,0.0
G0705,19,0.0
G0705,20,0.0
G0705,21,0.0
G0705,22,0.0
G0705,23,0.0
G0705,24,0.0
G0740,1,0.0
G0740,2,0.0
G0740,3,0.0
G0740,4,0.0
G0740,5,0.0
G0740,6,0.0
G0740,7,0.0
G0740,8,0.0
G0740,9,217.4608430361247
G0740,10,326.0
G0740,11,0.0
G0740,12,326.0
G0740,13,326.0
G0740,14,326.0
G0740,15,326.0
G0740,16,326.0
G0740,17,0.0
G0740,18,0.0
G0740,19,0.0
G0740,20,0.0
G0740,21,0.0
G0740,22,0.0
G0740,23,0.0
G0740,24,0.0
G0853,1,0.0
G0853,2,0.0
G0853,3,0.0
G0853,4,0.0
G0853,5,0.0
G0853,6,0.0
G0853,7,71.4566584815085
G0853,8,0.0
G0853,9,546.0
G0853,10,546.0
G0853,11,546.0
G0853,12,546.0
G0853,13,546.0
G0853,14,546.0
G0853,15,0.0
G0853,16,546.0
G0853,17,474.79961255305807
G0853,18,0.0
G0853,19,0.0
G0853,20,0.0
G0853,21,0.0
G0853,22,0.0
G0853,23,0.0
G0853,24,0.0
